BS.pilon.polished.v3.ST170922	Bacillus subtilis
33794	Cryptococcus neoformans
33772	Cryptococcus neoformans
34580	Cryptococcus neoformans
35562	Cryptococcus neoformans
35730	Cryptococcus neoformans
35012	Cryptococcus neoformans
34680	Cryptococcus neoformans
33983	Cryptococcus neoformans
35486	Cryptococcus neoformans
33804	Cryptococcus neoformans
35097	Cryptococcus neoformans
35546	Cryptococcus neoformans
34182	Cryptococcus neoformans
35558	Cryptococcus neoformans
35003	Cryptococcus neoformans
33952	Cryptococcus neoformans
35084	Cryptococcus neoformans
35065	Cryptococcus neoformans
32852	Cryptococcus neoformans
33656	Cryptococcus neoformans
35429	Cryptococcus neoformans
34437	Cryptococcus neoformans
34959	Cryptococcus neoformans
35190	Cryptococcus neoformans
35581	Cryptococcus neoformans
35320	Cryptococcus neoformans
34502	Cryptococcus neoformans
35634	Cryptococcus neoformans
34356	Cryptococcus neoformans
33899	Cryptococcus neoformans
35237	Cryptococcus neoformans
33646	Cryptococcus neoformans
35076	Cryptococcus neoformans
35004	Cryptococcus neoformans
33935	Cryptococcus neoformans
34512	Cryptococcus neoformans
34370	Cryptococcus neoformans
35438	Cryptococcus neoformans
35553	Cryptococcus neoformans
34449	Cryptococcus neoformans
35081	Cryptococcus neoformans
35818	Cryptococcus neoformans
33813	Cryptococcus neoformans
35271	Cryptococcus neoformans
35196	Cryptococcus neoformans
34124	Cryptococcus neoformans
33831	Cryptococcus neoformans
35422	Cryptococcus neoformans
35250	Cryptococcus neoformans
35428	Cryptococcus neoformans
35395	Cryptococcus neoformans
35544	Cryptococcus neoformans
35159	Cryptococcus neoformans
35791	Cryptococcus neoformans
35215	Cryptococcus neoformans
35222	Cryptococcus neoformans
33901	Cryptococcus neoformans
34020	Cryptococcus neoformans
34178	Cryptococcus neoformans
35066	Cryptococcus neoformans
34324	Cryptococcus neoformans
34071	Cryptococcus neoformans
34017	Cryptococcus neoformans
35700	Cryptococcus neoformans
35487	Cryptococcus neoformans
35002	Cryptococcus neoformans
34993	Cryptococcus neoformans
35378	Cryptococcus neoformans
35302	Cryptococcus neoformans
35466	Cryptococcus neoformans
34629	Cryptococcus neoformans
35325	Cryptococcus neoformans
35741	Cryptococcus neoformans
12296	Cryptococcus neoformans
34841	Cryptococcus neoformans
35021	Cryptococcus neoformans
35670	Cryptococcus neoformans
34041	Cryptococcus neoformans
34835	Cryptococcus neoformans
35128	Cryptococcus neoformans
35365	Cryptococcus neoformans
35229	Cryptococcus neoformans
35540	Cryptococcus neoformans
35402	Cryptococcus neoformans
35554	Cryptococcus neoformans
35161	Cryptococcus neoformans
33995	Cryptococcus neoformans
35360	Cryptococcus neoformans
34848	Cryptococcus neoformans
35008	Cryptococcus neoformans
34922	Cryptococcus neoformans
34411	Cryptococcus neoformans
33860	Cryptococcus neoformans
35808	Cryptococcus neoformans
34724	Cryptococcus neoformans
30427	Cryptococcus neoformans
35321	Cryptococcus neoformans
35537	Cryptococcus neoformans
35038	Cryptococcus neoformans
34142	Cryptococcus neoformans
35396	Cryptococcus neoformans
35449	Cryptococcus neoformans
35709	Cryptococcus neoformans
34325	Cryptococcus neoformans
35184	Cryptococcus neoformans
35757	Cryptococcus neoformans
34173	Cryptococcus neoformans
35754	Cryptococcus neoformans
34649	Cryptococcus neoformans
35129	Cryptococcus neoformans
34526	Cryptococcus neoformans
34613	Cryptococcus neoformans
35432	Cryptococcus neoformans
35606	Cryptococcus neoformans
35080	Cryptococcus neoformans
34233	Cryptococcus neoformans
34342	Cryptococcus neoformans
35216	Cryptococcus neoformans
33964	Cryptococcus neoformans
33837	Cryptococcus neoformans
34838	Cryptococcus neoformans
35331	Cryptococcus neoformans
34536	Cryptococcus neoformans
35749	Cryptococcus neoformans
35093	Cryptococcus neoformans
33709	Cryptococcus neoformans
34999	Cryptococcus neoformans
35677	Cryptococcus neoformans
26954	Cryptococcus neoformans
34757	Cryptococcus neoformans
34171	Cryptococcus neoformans
35567	Cryptococcus neoformans
35548	Cryptococcus neoformans
35175	Cryptococcus neoformans
35740	Cryptococcus neoformans
35039	Cryptococcus neoformans
34327	Cryptococcus neoformans
35348	Cryptococcus neoformans
35569	Cryptococcus neoformans
35387	Cryptococcus neoformans
34616	Cryptococcus neoformans
34912	Cryptococcus neoformans
35072	Cryptococcus neoformans
34199	Cryptococcus neoformans
35245	Cryptococcus neoformans
34801	Cryptococcus neoformans
34714	Cryptococcus neoformans
35293	Cryptococcus neoformans
35327	Cryptococcus neoformans
34949	Cryptococcus neoformans
35164	Cryptococcus neoformans
35499	Cryptococcus neoformans
35723	Cryptococcus neoformans
35167	Cryptococcus neoformans
35407	Cryptococcus neoformans
33984	Cryptococcus neoformans
33842	Cryptococcus neoformans
35122	Cryptococcus neoformans
35725	Cryptococcus neoformans
34318	Cryptococcus neoformans
33904	Cryptococcus neoformans
35181	Cryptococcus neoformans
35744	Cryptococcus neoformans
35545	Cryptococcus neoformans
35586	Cryptococcus neoformans
33704	Cryptococcus neoformans
35251	Cryptococcus neoformans
34601	Cryptococcus neoformans
35415	Cryptococcus neoformans
34471	Cryptococcus neoformans
35088	Cryptococcus neoformans
34640	Cryptococcus neoformans
35323	Cryptococcus neoformans
35406	Cryptococcus neoformans
35031	Cryptococcus neoformans
34719	Cryptococcus neoformans
33788	Cryptococcus neoformans
35104	Cryptococcus neoformans
33991	Cryptococcus neoformans
